id,title,body,category,priority
570,Webcam non rilevata,L'applicazione si chiude inaspettatamente È bloccante per il mio lavoro.,Tecnico,alta
571,Licenza scaduta,Il mouse wireless non risponde,Tecnico,media
572,Pagamento effettuato,"Siamo interessati a una partnership commerciale Emergenza, serve intervento immediato.",Commerciale,alta
573,Contratto da firmare,Gli straordinari del mese scorso non sono stati pagati Cordiali saluti.,Amministrazione,media
574,USB non riconosciuta,Il server aziendale non è raggiungibile Grazie in anticipo.,Tecnico,media
575,Aggiornamento fallito,Non esce audio dalle casse del computer Attendo riscontro.,Tecnico,media
576,Webcam non rilevata,Non ricordo la password del mio account,Tecnico,media
577,Rinnovo abbonamento,"Vorrei tracciare il mio ordine Non è urgente, quando avete tempo.",Commerciale,bassa
578,Modello 730,"Ho bisogno di un attestato di servizio Sono fermo, non posso procedere.",Amministrazione,alta
579,Rimborso spese,Vorrei richiedere le ferie per il mese prossimo Attendo riscontro.,Amministrazione,media
580,Webcam non rilevata,L'applicazione si chiude inaspettatamente È solo una domanda informativa.,Tecnico,bassa
581,USB non riconosciuta,Il backup automatico non viene eseguito Ho bisogno di aiuto immediato.,Tecnico,alta
582,Promozione attiva,"Il mio ordine è in ritardo rispetto alla data prevista È urgente, non riesco a lavorare.",Commerciale,alta
583,Maternità,Richiedo assistenza per il modello 730 Quando possibile.,Amministrazione,bassa
584,Schermo nero,"Il disco C: è quasi pieno Quando possibile, grazie.",Tecnico,media
585,Connessione internet assente,"Il backup automatico non viene eseguito Situazione critica, sistema bloccato.",Tecnico,alta
586,Webcam non rilevata,Manca il driver della scheda video È solo una domanda informativa.,Tecnico,bassa
587,Aggiornamento fallito,Devo configurare la mia casella email Cordiali saluti.,Tecnico,media
588,Nuovo cliente,"Ho bisogno di assistenza post-vendita Sono fermo, non posso procedere.",Commerciale,alta
589,Modifica anagrafica,Devo comunicare il nuovo IBAN per l'accredito stipendio,Amministrazione,media
590,Pagamento effettuato,Ho bisogno di una spedizione urgente Senza fretta.,Commerciale,bassa
591,Fattura errata,"Sono un nuovo cliente e vorrei registrarmi Situazione critica, sistema bloccato.",Commerciale,alta
592,Richiesta TFR,"Richiedo assistenza per il modello 730 Urgentissimo, il cliente attende.",Amministrazione,alta
593,Garanzia prodotto,Confermo di aver effettuato il pagamento Solo per avere informazioni.,Commerciale,bassa
594,Email non arrivano,Il backup automatico non viene eseguito Grazie in anticipo.,Tecnico,media
595,RAM insufficiente,Impossibile navigare su internet Attendo riscontro.,Tecnico,media
596,Promozione attiva,Vorrei tracciare il mio ordine Solo per curiosità.,Commerciale,bassa
597,Aggiornamento fallito,"L'applicazione si chiude inaspettatamente Situazione critica, sistema bloccato.",Tecnico,alta
598,Richiesta preventivo,Devo rinnovare il mio abbonamento A vostra comodità.,Commerciale,bassa
599,Smart working,Invio la nota spese del mese Attendo riscontro.,Amministrazione,media
600,Backup fallito,"Il file Excel non si apre correttamente Situazione critica, sistema bloccato.",Tecnico,alta
601,RAM insufficiente,Il sistema nega l'accesso ai file condivisi Quando possibile.,Tecnico,bassa
602,Disco pieno,Il sistema è molto lento per mancanza di RAM,Tecnico,media
603,Richiesta campioni,"Ho bisogno di informazioni su un prodotto specifico Urgentissimo, il cliente attende.",Commerciale,alta
604,Partnership commerciale,Il mio ordine è in ritardo rispetto alla data prevista Attendo riscontro.,Commerciale,media
605,CUD mancante,Ho ricevuto il contratto da firmare Solo per curiosità.,Amministrazione,bassa
606,Credito cliente,"Vorrei lasciare un feedback sul servizio ricevuto Sono fermo, non posso procedere.",Commerciale,alta
607,Modello 730,Gli straordinari del mese scorso non sono stati pagati Senza fretta.,Amministrazione,bassa
608,Problema di rete,Il disco C: è quasi pieno Solo per curiosità.,Tecnico,bassa
609,Ordine in ritardo,Devo rinnovare il mio abbonamento Fatemi sapere.,Commerciale,media
610,Certificato lavoro,Richiedo un anticipo sullo stipendio Attendo riscontro.,Amministrazione,media
611,Nota spese,Invio la nota spese del mese È solo una domanda informativa.,Amministrazione,bassa
612,Straordinari non pagati,I contributi versati risultano errati È bloccante per il mio lavoro.,Amministrazione,alta
613,Rinnovo contratto,Richiedo una variazione dell'orario di lavoro Grazie in anticipo.,Amministrazione,media
614,Listino prezzi,Ci sono offerte speciali in corso? Solo per curiosità.,Commerciale,bassa
615,File corrotto,La connessione VPN si disconnette continuamente Solo per avere informazioni.,Tecnico,bassa
616,Maternità,"Devo aggiornare la richiesta assegni familiari Sono fermo, non posso procedere.",Amministrazione,alta
617,Catalogo prodotti,Vorrei ricevere un preventivo per i vostri servizi Grazie in anticipo.,Commerciale,media
618,Assegni familiari,"Devo aggiornare il mio indirizzo di residenza È urgente, non riesco a lavorare.",Amministrazione,alta
619,Sconto richiesto,"Vorrei ricevere il catalogo prodotti completo Quando possibile, grazie.",Commerciale,media
620,Dimissioni,Ho notato un errore nell'importo della busta paga,Amministrazione,media
621,Catalogo prodotti,Ci sono offerte speciali in corso? Grazie in anticipo.,Commerciale,media
622,Richiesta permesso,Richiedo un anticipo sullo stipendio Solo per avere informazioni.,Amministrazione,bassa
623,Pagamento effettuato,Ho bisogno di informazioni su un prodotto specifico Grazie in anticipo.,Commerciale,media
624,Software da installare,"Il server aziendale non è raggiungibile Quando possibile, grazie.",Tecnico,media
625,Busta paga errata,Ho bisogno di un attestato di servizio Ho bisogno di aiuto immediato.,Amministrazione,alta
626,Contratto fornitura,"Il prodotto è ancora in garanzia? È urgente, non riesco a lavorare.",Commerciale,alta
627,Modello 730,Devo aggiornare la richiesta assegni familiari Non è prioritario.,Amministrazione,bassa
628,Accesso negato,L'antivirus ha rilevato una minaccia Senza fretta.,Tecnico,bassa
629,Assegni familiari,Richiedo un permesso per visita medica A vostra comodità.,Amministrazione,bassa
630,Aggiornamento fallito,Non riesco a connettermi alla rete aziendale Grazie per l'assistenza.,Tecnico,media
631,Ordine in ritardo,Ho bisogno di una spedizione urgente Grazie per l'assistenza.,Commerciale,media
632,Problema di rete,"Non riesco a connettermi alla rete aziendale Quando possibile, grazie.",Tecnico,media
633,Audio non funziona,Il backup automatico non viene eseguito Attendo riscontro.,Tecnico,media
634,Stampante non stampa,"L'antivirus ha rilevato una minaccia È urgente, non riesco a lavorare.",Tecnico,alta
635,Password dimenticata,"La stampante non risponde ai comandi di stampa Situazione critica, sistema bloccato.",Tecnico,alta
636,Congedo parentale,Richiedo informazioni sul congedo di maternità Problema grave che blocca tutto.,Amministrazione,alta
637,Contratto da firmare,Vorrei informazioni sul prestito aziendale Grazie in anticipo.,Amministrazione,media
638,Catalogo prodotti,"Vorrei ricevere un preventivo per i vostri servizi Quando possibile, grazie.",Commerciale,media
639,Tracciamento ordine,"Sono interessato a un upgrade del piano attuale Sono fermo, non posso procedere.",Commerciale,alta
640,Offerta speciale,Vorrei disdire il servizio attivo Attendo riscontro.,Commerciale,media
641,Problema cedolino,Vorrei presentare le dimissioni A vostra comodità.,Amministrazione,bassa
642,Richiesta ferie,"Vorrei richiedere il congedo parentale Urgentissimo, il cliente attende.",Amministrazione,alta
643,Richiesta permesso,Il cedolino presenta delle anomalie A vostra comodità.,Amministrazione,bassa
644,Ordine in ritardo,"Confermo di aver effettuato il pagamento Emergenza, serve intervento immediato.",Commerciale,alta
645,Email non arrivano,Il sistema nega l'accesso ai file condivisi Cordiali saluti.,Tecnico,media
646,Aggiornamento fallito,"Il server aziendale non è raggiungibile Non è urgente, quando avete tempo.",Tecnico,bassa
647,Anticipo stipendio,"Il cedolino presenta delle anomalie Urgentissimo, il cliente attende.",Amministrazione,alta
648,Detrazioni fiscali,"Ho bisogno di un attestato di servizio Quando possibile, grazie.",Amministrazione,media
649,Nuovo cliente,Siamo interessati a una partnership commerciale A vostra comodità.,Commerciale,bassa
650,Certificato lavoro,Ho bisogno di una lettera di referenze È bloccante per il mio lavoro.,Amministrazione,alta
651,Errore contributi,Devo aggiornare la richiesta assegni familiari Problema grave che blocca tutto.,Amministrazione,alta
652,Promozione attiva,"Vorrei informazioni sulla promozione attiva Emergenza, serve intervento immediato.",Commerciale,alta
653,Nuovo cliente,Vorrei lasciare un feedback sul servizio ricevuto Fatemi sapere.,Commerciale,media
654,CUD mancante,Ho notato un errore nell'importo della busta paga Problema grave che blocca tutto.,Amministrazione,alta
655,Modifica ordine,"Vorrei annullare l'ordine numero 12345 Quando possibile, grazie.",Commerciale,media
656,Partnership commerciale,Siamo interessati a una partnership commerciale Solo per avere informazioni.,Commerciale,bassa
657,Reclamo prodotto,"Sono interessato a un upgrade del piano attuale Sono fermo, non posso procedere.",Commerciale,alta
658,Congedo parentale,Richiedo una variazione dell'orario di lavoro Solo per avere informazioni.,Amministrazione,bassa
659,Email non arrivano,Il computer impiega troppo tempo ad avviarsi Grazie in anticipo.,Tecnico,media
660,Errore contributi,"Ho bisogno di un attestato di servizio Emergenza, serve intervento immediato.",Amministrazione,alta
661,Driver mancante,"Il backup automatico non viene eseguito Non è urgente, quando avete tempo.",Tecnico,bassa
662,Richiesta ferie,Richiedo una variazione dell'orario di lavoro Senza fretta.,Amministrazione,bassa
663,Pagamento effettuato,"Richiedo il listino prezzi aggiornato Non è urgente, quando avete tempo.",Commerciale,bassa
664,Aggiornamento fallito,"Il sistema è molto lento per mancanza di RAM Emergenza, serve intervento immediato.",Tecnico,alta
665,Connessione internet assente,Le email inviate non arrivano a destinazione Attendo riscontro.,Tecnico,media
666,Nuovo cliente,"La fattura ricevuta contiene degli errori Quando possibile, grazie.",Commerciale,media
667,Smart working,Devo comunicare il nuovo IBAN per l'accredito stipendio È bloccante per il mio lavoro.,Amministrazione,alta
668,Trasferta,"Richiedo un cambio di mansione Emergenza, serve intervento immediato.",Amministrazione,alta
669,Rinnovo abbonamento,Vorrei lasciare un feedback sul servizio ricevuto,Commerciale,media
670,Server non risponde,"Non riesco a connettermi alla rete aziendale Urgentissimo, il cliente attende.",Tecnico,alta
671,Straordinari non pagati,Devo aggiornare il mio indirizzo di residenza Grazie per l'assistenza.,Amministrazione,media
672,RAM insufficiente,"Non riesco a connettermi alla rete aziendale Situazione critica, sistema bloccato.",Tecnico,alta
673,Detrazioni fiscali,"Devo aggiornare il mio indirizzo di residenza È urgente, non riesco a lavorare.",Amministrazione,alta
674,Pagamento effettuato,Vorrei ricevere il catalogo prodotti completo Fatemi sapere.,Commerciale,media
675,Nuovo cliente,Sono interessato a un upgrade del piano attuale,Commerciale,media
676,Schermo nero,"Il backup automatico non viene eseguito Quando possibile, grazie.",Tecnico,media
677,Assistenza post-vendita,Vorrei informazioni sulla promozione attiva Quando possibile.,Commerciale,bassa
678,Variazione orario,Devo aggiornare il mio indirizzo di residenza Attendo riscontro.,Amministrazione,media
679,Congedo parentale,Vorrei richiedere le ferie per il mese prossimo Ho bisogno di aiuto immediato.,Amministrazione,alta
680,Sollecito pagamento,Devo modificare la quantità dell'ordine effettuato Grazie per l'assistenza.,Commerciale,media
681,Connessione internet assente,Il computer impiega troppo tempo ad avviarsi Cordiali saluti.,Tecnico,media
682,Assegni familiari,"Richiedo un permesso per visita medica Sono fermo, non posso procedere.",Amministrazione,alta
683,Pagamento effettuato,"La fattura ricevuta contiene degli errori Quando possibile, grazie.",Commerciale,media
684,Problema cedolino,Richiedo un permesso per visita medica,Amministrazione,media
685,Cambio mansione,Devo aggiornare la richiesta assegni familiari Cordiali saluti.,Amministrazione,media
686,Reclamo prodotto,Siamo interessati a una partnership commerciale Fatemi sapere.,Commerciale,media
687,Rimborso spese,"Vorrei richiedere il congedo parentale Non è urgente, quando avete tempo.",Amministrazione,bassa
688,Richiesta TFR,Ho bisogno di modificare le detrazioni fiscali Grazie per l'assistenza.,Amministrazione,media
689,Busta paga errata,"Devo richiedere il rimborso delle spese di viaggio Emergenza, serve intervento immediato.",Amministrazione,alta
690,Anticipo stipendio,Richiedo una variazione dell'orario di lavoro È solo una domanda informativa.,Amministrazione,bassa
691,Feedback servizio,È possibile ottenere uno sconto per grandi quantità? Quando possibile.,Commerciale,bassa
692,Nuovo cliente,Invio sollecito per il pagamento della fattura Fatemi sapere.,Commerciale,media
693,Richiesta ferie,Ho bisogno di un attestato di servizio Ho bisogno di aiuto immediato.,Amministrazione,alta
694,Errore di sistema,Il mouse wireless non risponde Resto in attesa di risposta.,Tecnico,media
695,Cambio mansione,Invio la nota spese del mese Non è prioritario.,Amministrazione,bassa
696,Lettera referenze,"Vorrei informazioni sulla liquidazione del TFR Quando possibile, grazie.",Amministrazione,media
697,Configurazione email,La webcam non viene riconosciuta dal sistema Resto in attesa di risposta.,Tecnico,media
698,Nuovo cliente,Devo modificare la quantità dell'ordine effettuato Grazie in anticipo.,Commerciale,media
699,Annullamento ordine,Invio sollecito per il pagamento della fattura Attendo riscontro.,Commerciale,media
700,Certificato lavoro,"Vorrei informazioni sulla liquidazione del TFR Situazione critica, sistema bloccato.",Amministrazione,alta
701,Detrazioni fiscali,Devo aggiornare il mio indirizzo di residenza Solo per curiosità.,Amministrazione,bassa
702,RAM insufficiente,Ho bisogno di installare un nuovo software Solo per curiosità.,Tecnico,bassa
703,USB non riconosciuta,"Il monitor presenta sfarfallii continui Non è urgente, quando avete tempo.",Tecnico,bassa
704,Mouse non funziona,Il computer impiega troppo tempo ad avviarsi Problema grave che blocca tutto.,Tecnico,alta
705,Virus rilevato,"Non riesco a collegare dispositivi Bluetooth Sono fermo, non posso procedere.",Tecnico,alta
706,Disco pieno,"Non esce audio dalle casse del computer Urgentissimo, il cliente attende.",Tecnico,alta
707,Attestato di servizio,Richiedo un cambio di mansione È solo una domanda informativa.,Amministrazione,bassa
708,Anticipo stipendio,Vorrei richiedere le ferie per il mese prossimo A vostra comodità.,Amministrazione,bassa
709,Malattia,Devo comunicare un periodo di malattia Senza fretta.,Amministrazione,bassa
710,Server non risponde,"Il computer impiega troppo tempo ad avviarsi Quando possibile, grazie.",Tecnico,media
711,Modello 730,Richiedo assistenza per il modello 730 È solo una domanda informativa.,Amministrazione,bassa
712,Assistenza post-vendita,Ho bisogno di assistenza post-vendita Resto in attesa di risposta.,Commerciale,media
713,Audio non funziona,Non riesco a connettermi alla rete aziendale A vostra comodità.,Tecnico,bassa
714,Modello 730,I contributi versati risultano errati Resto in attesa di risposta.,Amministrazione,media
715,Trasferta,Vorrei richiedere le ferie per il mese prossimo È bloccante per il mio lavoro.,Amministrazione,alta
716,Disco pieno,Il file Excel non si apre correttamente Cordiali saluti.,Tecnico,media
717,Congedo parentale,"Vorrei presentare le dimissioni È urgente, non riesco a lavorare.",Amministrazione,alta
718,Email non arrivano,Il disco C: è quasi pieno Quando possibile.,Tecnico,bassa
719,Disponibilità articolo,"È possibile ottenere uno sconto per grandi quantità? Sono fermo, non posso procedere.",Commerciale,alta
720,Connessione internet assente,"Il sistema nega l'accesso ai file condivisi Non è urgente, quando avete tempo.",Tecnico,bassa
721,Assistenza post-vendita,"È possibile ricevere dei campioni gratuiti? Non è urgente, quando avete tempo.",Commerciale,bassa
722,Server non risponde,Il disco C: è quasi pieno Grazie per l'assistenza.,Tecnico,media
723,Catalogo prodotti,Vorrei tracciare il mio ordine Grazie in anticipo.,Commerciale,media
724,Attestato di servizio,Vorrei informazioni sul prestito aziendale Attendo riscontro.,Amministrazione,media
725,Tastiera bloccata,Impossibile navigare su internet Non è prioritario.,Tecnico,bassa
726,Smart working,"Devo comunicare un periodo di malattia Urgentissimo, il cliente attende.",Amministrazione,alta
727,Rinnovo abbonamento,Ci sono offerte speciali in corso? Solo per curiosità.,Commerciale,bassa
728,Driver mancante,La licenza del software è scaduta Senza fretta.,Tecnico,bassa
729,Webcam non rilevata,"Impossibile navigare su internet Urgentissimo, il cliente attende.",Tecnico,alta
730,Promozione attiva,Vorrei disdire il servizio attivo Solo per curiosità.,Commerciale,bassa
731,Promozione attiva,Vorrei tracciare il mio ordine Cordiali saluti.,Commerciale,media
732,Spedizione urgente,"Richiedo la sostituzione dell'articolo difettoso È urgente, non riesco a lavorare.",Commerciale,alta
733,Richiesta ferie,"Vorrei informazioni sulla liquidazione del TFR Sono fermo, non posso procedere.",Amministrazione,alta
734,Smart working,Devo comunicare il nuovo IBAN per l'accredito stipendio Attendo riscontro.,Amministrazione,media
735,RAM insufficiente,Il sistema nega l'accesso ai file condivisi Grazie per l'assistenza.,Tecnico,media
736,Software non funziona,Devo configurare la mia casella email Ho bisogno di aiuto immediato.,Tecnico,alta
737,Nota spese,Vorrei richiedere le ferie per il mese prossimo È solo una domanda informativa.,Amministrazione,bassa
738,VPN non funziona,Il mouse wireless non risponde Non è prioritario.,Tecnico,bassa
739,Certificato lavoro,"Invio la nota spese del mese Emergenza, serve intervento immediato.",Amministrazione,alta
740,File corrotto,Il file Excel non si apre correttamente A vostra comodità.,Tecnico,bassa
741,Accesso negato,L'antivirus ha rilevato una minaccia Attendo riscontro.,Tecnico,media
742,Rimborso spese,Ho bisogno di un attestato di servizio Attendo riscontro.,Amministrazione,media
743,Informazioni prodotto,La fattura ricevuta contiene degli errori È bloccante per il mio lavoro.,Commerciale,alta
744,Errore di sistema,L'antivirus ha rilevato una minaccia Non è prioritario.,Tecnico,bassa
745,Catalogo prodotti,Il mio ordine è in ritardo rispetto alla data prevista Resto in attesa di risposta.,Commerciale,media
746,Tracciamento ordine,"È possibile ottenere uno sconto per grandi quantità? Non è urgente, quando avete tempo.",Commerciale,bassa
747,Congedo parentale,"Richiedo un anticipo sullo stipendio Quando possibile, grazie.",Amministrazione,media
748,Driver mancante,Lo schermo rimane nero dopo l'accensione Non è prioritario.,Tecnico,bassa
749,Computer lento,La licenza del software è scaduta Non è prioritario.,Tecnico,bassa
750,Disco pieno,L'aggiornamento del sistema operativo è fallito Grazie per l'assistenza.,Tecnico,media
751,Monitor sfarfalla,Alcuni tasti della tastiera non funzionano È bloccante per il mio lavoro.,Tecnico,alta
752,Offerta speciale,Vorrei disdire il servizio attivo Grazie per l'assistenza.,Commerciale,media
753,RAM insufficiente,Il monitor presenta sfarfallii continui Quando possibile.,Tecnico,bassa
754,Aggiornamento fallito,Devo configurare la mia casella email Senza fretta.,Tecnico,bassa
755,Reclamo prodotto,Vorrei ricevere un preventivo per i vostri servizi Non è prioritario.,Commerciale,bassa
756,Audio non funziona,Il sistema mostra un errore critico all'avvio Cordiali saluti.,Tecnico,media
757,Richiesta campioni,"La fattura ricevuta contiene degli errori Sono fermo, non posso procedere.",Commerciale,alta
758,Errore di sistema,Il file Excel non si apre correttamente Cordiali saluti.,Tecnico,media
759,Backup fallito,"Il backup automatico non viene eseguito Sono fermo, non posso procedere.",Tecnico,alta
760,Variazione orario,"Ho bisogno di modificare le detrazioni fiscali Quando possibile, grazie.",Amministrazione,media
761,Rinnovo abbonamento,Richiedo la sostituzione dell'articolo difettoso Solo per avere informazioni.,Commerciale,bassa
762,Licenza scaduta,Non riesco a connettermi alla rete aziendale,Tecnico,media
763,Upgrade piano,"Vorrei tracciare il mio ordine Emergenza, serve intervento immediato.",Commerciale,alta
764,Rinnovo contratto,Devo aggiornare la richiesta assegni familiari A vostra comodità.,Amministrazione,bassa
765,Malattia,Devo organizzare una trasferta di lavoro Problema grave che blocca tutto.,Amministrazione,alta
766,Bluetooth non funziona,L'applicazione si chiude inaspettatamente Ho bisogno di aiuto immediato.,Tecnico,alta
767,Reclamo prodotto,La fattura ricevuta contiene degli errori Solo per avere informazioni.,Commerciale,bassa
768,Rimborso spese,Invio la nota spese del mese A vostra comodità.,Amministrazione,bassa
769,Promozione attiva,"Vorrei tracciare il mio ordine Sono fermo, non posso procedere.",Commerciale,alta
770,Lettera referenze,Richiedo una variazione dell'orario di lavoro Grazie in anticipo.,Amministrazione,media
771,Virus rilevato,La stampante non risponde ai comandi di stampa Solo per curiosità.,Tecnico,bassa
772,Anticipo stipendio,"Richiedo un anticipo sullo stipendio Sono fermo, non posso procedere.",Amministrazione,alta
773,Richiesta campioni,Vorrei ricevere il catalogo prodotti completo Attendo riscontro.,Commerciale,media
774,Maternità,"Vorrei informazioni sul prestito aziendale Sono fermo, non posso procedere.",Amministrazione,alta
775,Tracciamento ordine,Vorrei lasciare un feedback sul servizio ricevuto,Commerciale,media
776,Computer lento,L'antivirus ha rilevato una minaccia Quando possibile.,Tecnico,bassa
777,Reclamo prodotto,"Richiedo la sostituzione dell'articolo difettoso Urgentissimo, il cliente attende.",Commerciale,alta
778,Contratto fornitura,Confermo di aver effettuato il pagamento Attendo riscontro.,Commerciale,media
779,Disdetta servizio,Il mio ordine è in ritardo rispetto alla data prevista È bloccante per il mio lavoro.,Commerciale,alta
780,Stampante non stampa,Non ricordo la password del mio account Cordiali saluti.,Tecnico,media
781,Certificato lavoro,I contributi versati risultano errati Fatemi sapere.,Amministrazione,media
782,Webcam non rilevata,Il disco C: è quasi pieno Solo per avere informazioni.,Tecnico,bassa
783,Monitor sfarfalla,Il sistema nega l'accesso ai file condivisi Ho bisogno di aiuto immediato.,Tecnico,alta
784,USB non riconosciuta,La chiavetta USB non viene riconosciuta Fatemi sapere.,Tecnico,media
785,Sostituzione articolo,"Il prodotto ricevuto presenta dei difetti Quando possibile, grazie.",Commerciale,media
786,Malattia,Non ho ricevuto la CUD di quest'anno Ho bisogno di aiuto immediato.,Amministrazione,alta
787,Listino prezzi,"La fattura ricevuta contiene degli errori Sono fermo, non posso procedere.",Commerciale,alta
788,Audio non funziona,Non ricordo la password del mio account Attendo riscontro.,Tecnico,media
789,Reso merce,"Richiedo il listino prezzi aggiornato Quando possibile, grazie.",Commerciale,media
790,Modifica anagrafica,Vorrei attivare lo smart working È solo una domanda informativa.,Amministrazione,bassa
791,Smart working,Gli straordinari del mese scorso non sono stati pagati A vostra comodità.,Amministrazione,bassa
792,Errore di sistema,"Il sistema nega l'accesso ai file condivisi Sono fermo, non posso procedere.",Tecnico,alta
793,Aggiornamento fallito,Lo schermo rimane nero dopo l'accensione Problema grave che blocca tutto.,Tecnico,alta
794,Sostituzione articolo,Ho bisogno di informazioni su un prodotto specifico Attendo riscontro.,Commerciale,media
795,VPN non funziona,L'antivirus ha rilevato una minaccia Senza fretta.,Tecnico,bassa
796,Listino prezzi,Devo modificare la quantità dell'ordine effettuato Attendo riscontro.,Commerciale,media
797,Promozione attiva,Vorrei ricevere il catalogo prodotti completo Grazie in anticipo.,Commerciale,media
798,Configurazione email,Ho bisogno di installare un nuovo software Grazie per l'assistenza.,Tecnico,media
799,Rimborso spese,Ho bisogno di modificare le detrazioni fiscali Grazie per l'assistenza.,Amministrazione,media
800,Attestato di servizio,Devo comunicare il nuovo IBAN per l'accredito stipendio È solo una domanda informativa.,Amministrazione,bassa
801,Contratto fornitura,Sono un nuovo cliente e vorrei registrarmi Grazie in anticipo.,Commerciale,media
802,Nota spese,"Ho bisogno di una lettera di referenze Situazione critica, sistema bloccato.",Amministrazione,alta
803,Credito cliente,È possibile ottenere uno sconto per grandi quantità? È solo una domanda informativa.,Commerciale,bassa
804,Schermo nero,L'applicazione si chiude inaspettatamente Cordiali saluti.,Tecnico,media
805,Congedo parentale,Richiedo un cambio di mansione Grazie in anticipo.,Amministrazione,media
806,Aggiornamento fallito,Lo schermo rimane nero dopo l'accensione,Tecnico,media
807,RAM insufficiente,"L'aggiornamento del sistema operativo è fallito Quando possibile, grazie.",Tecnico,media
808,Accesso negato,"La connessione VPN si disconnette continuamente Urgentissimo, il cliente attende.",Tecnico,alta
809,Garanzia prodotto,Il prodotto ricevuto presenta dei difetti Ho bisogno di aiuto immediato.,Commerciale,alta
810,Disdetta servizio,Ho bisogno di informazioni su un prodotto specifico Resto in attesa di risposta.,Commerciale,media
811,Contratto fornitura,Ho bisogno di informazioni su un prodotto specifico Senza fretta.,Commerciale,bassa
812,PC si spegne da solo,La licenza del software è scaduta Solo per avere informazioni.,Tecnico,bassa
813,Connessione internet assente,L'antivirus ha rilevato una minaccia Solo per curiosità.,Tecnico,bassa
814,Smart working,Devo richiedere il rimborso delle spese di viaggio Problema grave che blocca tutto.,Amministrazione,alta
815,Lettera referenze,Richiedo informazioni sul congedo di maternità Quando possibile.,Amministrazione,bassa
816,Virus rilevato,Il PC si spegne improvvisamente senza motivo Grazie per l'assistenza.,Tecnico,media
817,Assegni familiari,Devo comunicare un periodo di malattia Grazie in anticipo.,Amministrazione,media
818,Reclamo prodotto,"Vorrei disdire il servizio attivo Sono fermo, non posso procedere.",Commerciale,alta
819,File corrotto,Devo configurare la mia casella email Attendo riscontro.,Tecnico,media
820,Variazione orario,Vorrei richiedere le ferie per il mese prossimo Senza fretta.,Amministrazione,bassa
821,Audio non funziona,Non esce audio dalle casse del computer Fatemi sapere.,Tecnico,media
822,Richiesta ferie,Vorrei richiedere il congedo parentale,Amministrazione,media
823,Reclamo prodotto,Vorrei lasciare un feedback sul servizio ricevuto Cordiali saluti.,Commerciale,media
824,Schermo nero,Il computer impiega troppo tempo ad avviarsi Solo per curiosità.,Tecnico,bassa
825,Email non arrivano,"Il PC si spegne improvvisamente senza motivo Quando possibile, grazie.",Tecnico,media
826,Tastiera bloccata,Il sistema è molto lento per mancanza di RAM Attendo riscontro.,Tecnico,media
827,Reso merce,Vorrei verificare il credito residuo Grazie in anticipo.,Commerciale,media
828,Credito cliente,Vorrei lasciare un feedback sul servizio ricevuto Non è prioritario.,Commerciale,bassa
829,Contratto fornitura,Vorrei ricevere un preventivo per i vostri servizi Solo per avere informazioni.,Commerciale,bassa
830,Modifica ordine,Richiedo il listino prezzi aggiornato Resto in attesa di risposta.,Commerciale,media
831,Feedback servizio,"Vorrei lasciare un feedback sul servizio ricevuto Emergenza, serve intervento immediato.",Commerciale,alta
832,Computer lento,L'applicazione si chiude inaspettatamente Resto in attesa di risposta.,Tecnico,media
833,USB non riconosciuta,"Non riesco a connettermi alla rete aziendale È urgente, non riesco a lavorare.",Tecnico,alta
834,Congedo parentale,Devo richiedere il rimborso delle spese di viaggio Ho bisogno di aiuto immediato.,Amministrazione,alta
835,Garanzia prodotto,Richiedo il listino prezzi aggiornato Solo per curiosità.,Commerciale,bassa
836,Maternità,Vorrei richiedere il congedo parentale Ho bisogno di aiuto immediato.,Amministrazione,alta
837,Errore di sistema,Impossibile navigare su internet Quando possibile.,Tecnico,bassa
838,Disco pieno,Non riesco a collegare dispositivi Bluetooth Attendo riscontro.,Tecnico,media
839,Garanzia prodotto,Vorrei effettuare il reso della merce acquistata,Commerciale,media
840,Partnership commerciale,Invio sollecito per il pagamento della fattura Attendo riscontro.,Commerciale,media
841,Software da installare,Alcuni tasti della tastiera non funzionano Solo per curiosità.,Tecnico,bassa
842,Password dimenticata,"Il mouse wireless non risponde Non è urgente, quando avete tempo.",Tecnico,bassa
843,Spedizione urgente,Devo rinnovare il mio abbonamento Grazie in anticipo.,Commerciale,media
844,Maternità,"Vorrei informazioni sul prestito aziendale Situazione critica, sistema bloccato.",Amministrazione,alta
845,Ordine in ritardo,Il mio ordine è in ritardo rispetto alla data prevista Solo per avere informazioni.,Commerciale,bassa
846,Reclamo prodotto,Invio sollecito per il pagamento della fattura Cordiali saluti.,Commerciale,media
847,Promozione attiva,Il prodotto ricevuto presenta dei difetti,Commerciale,media
848,Accesso negato,Il file Excel non si apre correttamente Non è prioritario.,Tecnico,bassa
849,Straordinari non pagati,Devo comunicare un periodo di malattia Problema grave che blocca tutto.,Amministrazione,alta
850,Smart working,Richiedo un cambio di mansione A vostra comodità.,Amministrazione,bassa
851,Trasferta,Vorrei presentare le dimissioni Problema grave che blocca tutto.,Amministrazione,alta
852,Tracciamento ordine,Vorrei ricevere un preventivo per i vostri servizi,Commerciale,media
853,Contratto fornitura,"Siamo interessati a una partnership commerciale Emergenza, serve intervento immediato.",Commerciale,alta
854,Software non funziona,"Il monitor presenta sfarfallii continui Sono fermo, non posso procedere.",Tecnico,alta
