id,title,body,category,priority,full_text
495,Attestato di servizio,Ho notato un errore nell'importo della busta paga Quando possibile.,Amministrazione,bassa,attestato di servizio ho notato un errore nell'importo della busta paga quando possibile
496,Schermo nero,Il monitor presenta sfarfallii continui A vostra comodità.,Tecnico,bassa,schermo nero il monitor presenta sfarfallii continui a vostra comodità
497,CUD mancante,"Devo aggiornare il mio indirizzo di residenza Situazione critica, sistema bloccato.",Amministrazione,alta,cud mancante devo aggiornare il mio indirizzo di residenza situazione critica sistema bloccato
498,Straordinari non pagati,Devo aggiornare la richiesta assegni familiari Grazie in anticipo.,Amministrazione,media,straordinari non pagati devo aggiornare la richiesta assegni familiari grazie in anticipo
499,Backup fallito,Il PC si spegne improvvisamente senza motivo Fatemi sapere.,Tecnico,media,backup fallito il pc si spegne improvvisamente senza motivo fatemi sapere
500,Modello 730,Devo aggiornare la richiesta assegni familiari Quando possibile.,Amministrazione,bassa,modello 730 devo aggiornare la richiesta assegni familiari quando possibile
501,Errore contributi,Vorrei informazioni sul prestito aziendale A vostra comodità.,Amministrazione,bassa,errore contributi vorrei informazioni sul prestito aziendale a vostra comodità
502,Errore contributi,"Vorrei informazioni sul prestito aziendale Emergenza, serve intervento immediato.",Amministrazione,alta,errore contributi vorrei informazioni sul prestito aziendale emergenza serve intervento immediato
503,Reso merce,"Vorrei tracciare il mio ordine Sono fermo, non posso procedere.",Commerciale,alta,reso merce vorrei tracciare il mio ordine sono fermo non posso procedere
504,Ordine in ritardo,Vorrei disdire il servizio attivo Ho bisogno di aiuto immediato.,Commerciale,alta,ordine in ritardo vorrei disdire il servizio attivo ho bisogno di aiuto immediato
505,Contratto da firmare,Devo richiedere il rimborso delle spese di viaggio È solo una domanda informativa.,Amministrazione,bassa,contratto da firmare devo richiedere il rimborso delle spese di viaggio è solo una domanda informativa
506,Lettera referenze,Vorrei attivare lo smart working Senza fretta.,Amministrazione,bassa,lettera referenze vorrei attivare lo smart working senza fretta
507,Dimissioni,"Vorrei richiedere le ferie per il mese prossimo Urgentissimo, il cliente attende.",Amministrazione,alta,dimissioni vorrei richiedere le ferie per il mese prossimo urgentissimo il cliente attende
508,Richiesta TFR,Ho notato un errore nell'importo della busta paga È bloccante per il mio lavoro.,Amministrazione,alta,richiesta tfr ho notato un errore nell'importo della busta paga è bloccante per il mio lavoro
509,Audio non funziona,Il file Excel non si apre correttamente A vostra comodità.,Tecnico,bassa,audio non funziona il file excel non si apre correttamente a vostra comodità
510,Monitor sfarfalla,"Ho bisogno di installare un nuovo software Non è urgente, quando avete tempo.",Tecnico,bassa,monitor sfarfalla ho bisogno di installare un nuovo software non è urgente quando avete tempo
511,Anticipo stipendio,"Ho bisogno di un attestato di servizio Emergenza, serve intervento immediato.",Amministrazione,alta,anticipo stipendio ho bisogno di un attestato di servizio emergenza serve intervento immediato
512,Accesso negato,Il server aziendale non è raggiungibile Solo per avere informazioni.,Tecnico,bassa,accesso negato il server aziendale non è raggiungibile solo per avere informazioni
513,Straordinari non pagati,"Devo organizzare una trasferta di lavoro Urgentissimo, il cliente attende.",Amministrazione,alta,straordinari non pagati devo organizzare una trasferta di lavoro urgentissimo il cliente attende
514,Errore contributi,Non ho ricevuto la CUD di quest'anno Grazie in anticipo.,Amministrazione,media,errore contributi non ho ricevuto la cud di quest'anno grazie in anticipo
515,Virus rilevato,Il PC si spegne improvvisamente senza motivo Non è prioritario.,Tecnico,bassa,virus rilevato il pc si spegne improvvisamente senza motivo non è prioritario
516,Catalogo prodotti,Vorrei informazioni sulla promozione attiva Resto in attesa di risposta.,Commerciale,media,catalogo prodotti vorrei informazioni sulla promozione attiva resto in attesa di risposta
517,Tracciamento ordine,"Il prodotto è ancora in garanzia? Sono fermo, non posso procedere.",Commerciale,alta,tracciamento ordine il prodotto è ancora in garanzia sono fermo non posso procedere
518,Disco pieno,"Impossibile navigare su internet Sono fermo, non posso procedere.",Tecnico,alta,disco pieno impossibile navigare su internet sono fermo non posso procedere
519,Rinnovo abbonamento,Ho bisogno di assistenza post-vendita Senza fretta.,Commerciale,bassa,rinnovo abbonamento ho bisogno di assistenza post-vendita senza fretta
520,Richiesta ferie,Il cedolino presenta delle anomalie Solo per curiosità.,Amministrazione,bassa,richiesta ferie il cedolino presenta delle anomalie solo per curiosità
521,Richiesta campioni,Devo rinnovare il mio abbonamento Problema grave che blocca tutto.,Commerciale,alta,richiesta campioni devo rinnovare il mio abbonamento problema grave che blocca tutto
522,Congedo parentale,Ho notato un errore nell'importo della busta paga Problema grave che blocca tutto.,Amministrazione,alta,congedo parentale ho notato un errore nell'importo della busta paga problema grave che blocca tutto
523,Certificato lavoro,Vorrei informazioni sul prestito aziendale Grazie in anticipo.,Amministrazione,media,certificato lavoro vorrei informazioni sul prestito aziendale grazie in anticipo
524,Smart working,Devo richiedere il rimborso delle spese di viaggio Cordiali saluti.,Amministrazione,media,smart working devo richiedere il rimborso delle spese di viaggio cordiali saluti
525,Tastiera bloccata,L'applicazione si chiude inaspettatamente Grazie in anticipo.,Tecnico,media,tastiera bloccata l'applicazione si chiude inaspettatamente grazie in anticipo
526,Detrazioni fiscali,Vorrei informazioni sul prestito aziendale Problema grave che blocca tutto.,Amministrazione,alta,detrazioni fiscali vorrei informazioni sul prestito aziendale problema grave che blocca tutto
527,Catalogo prodotti,L'articolo che cerco è disponibile in magazzino? È bloccante per il mio lavoro.,Commerciale,alta,catalogo prodotti l'articolo che cerco è disponibile in magazzino è bloccante per il mio lavoro
528,Ordine in ritardo,Vorrei discutere un contratto di fornitura Resto in attesa di risposta.,Commerciale,media,ordine in ritardo vorrei discutere un contratto di fornitura resto in attesa di risposta
529,Modifica anagrafica,Richiedo un permesso per visita medica Attendo riscontro.,Amministrazione,media,modifica anagrafica richiedo un permesso per visita medica attendo riscontro
530,Virus rilevato,Impossibile navigare su internet Solo per curiosità.,Tecnico,bassa,virus rilevato impossibile navigare su internet solo per curiosità
531,Congedo parentale,Il cedolino presenta delle anomalie Grazie per l'assistenza.,Amministrazione,media,congedo parentale il cedolino presenta delle anomalie grazie per l'assistenza
532,Server non risponde,"Non esce audio dalle casse del computer Quando possibile, grazie.",Tecnico,media,server non risponde non esce audio dalle casse del computer quando possibile grazie
533,Sollecito pagamento,Ho bisogno di informazioni su un prodotto specifico Fatemi sapere.,Commerciale,media,sollecito pagamento ho bisogno di informazioni su un prodotto specifico fatemi sapere
534,Informazioni prodotto,Vorrei discutere un contratto di fornitura Grazie per l'assistenza.,Commerciale,media,informazioni prodotto vorrei discutere un contratto di fornitura grazie per l'assistenza
535,Rimborso spese,"Vorrei attivare lo smart working Quando possibile, grazie.",Amministrazione,media,rimborso spese vorrei attivare lo smart working quando possibile grazie
536,Ordine in ritardo,Vorrei informazioni sulla promozione attiva Attendo riscontro.,Commerciale,media,ordine in ritardo vorrei informazioni sulla promozione attiva attendo riscontro
537,Annullamento ordine,Ho bisogno di assistenza post-vendita Solo per avere informazioni.,Commerciale,bassa,annullamento ordine ho bisogno di assistenza post-vendita solo per avere informazioni
538,Modifica ordine,Richiedo la sostituzione dell'articolo difettoso A vostra comodità.,Commerciale,bassa,modifica ordine richiedo la sostituzione dell'articolo difettoso a vostra comodità
539,Mouse non funziona,"Non esce audio dalle casse del computer Situazione critica, sistema bloccato.",Tecnico,alta,mouse non funziona non esce audio dalle casse del computer situazione critica sistema bloccato
540,File corrotto,Non riesco a connettermi alla rete aziendale Solo per curiosità.,Tecnico,bassa,file corrotto non riesco a connettermi alla rete aziendale solo per curiosità
541,Garanzia prodotto,Sono un nuovo cliente e vorrei registrarmi È bloccante per il mio lavoro.,Commerciale,alta,garanzia prodotto sono un nuovo cliente e vorrei registrarmi è bloccante per il mio lavoro
542,Promozione attiva,L'articolo che cerco è disponibile in magazzino? Grazie in anticipo.,Commerciale,media,promozione attiva l'articolo che cerco è disponibile in magazzino grazie in anticipo
543,Driver mancante,"Non riesco a collegare dispositivi Bluetooth Quando possibile, grazie.",Tecnico,media,driver mancante non riesco a collegare dispositivi bluetooth quando possibile grazie
544,Attestato di servizio,"Ho bisogno di una lettera di referenze Quando possibile, grazie.",Amministrazione,media,attestato di servizio ho bisogno di una lettera di referenze quando possibile grazie
545,PC si spegne da solo,Impossibile navigare su internet Fatemi sapere.,Tecnico,media,pc si spegne da solo impossibile navigare su internet fatemi sapere
546,Fattura errata,Vorrei discutere un contratto di fornitura Senza fretta.,Commerciale,bassa,fattura errata vorrei discutere un contratto di fornitura senza fretta
547,Problema cedolino,"Non ho ricevuto la CUD di quest'anno Urgentissimo, il cliente attende.",Amministrazione,alta,problema cedolino non ho ricevuto la cud di quest'anno urgentissimo il cliente attende
548,Problema di rete,"Devo configurare la mia casella email Quando possibile, grazie.",Tecnico,media,problema di rete devo configurare la mia casella email quando possibile grazie
549,Monitor sfarfalla,Il sistema è molto lento per mancanza di RAM Resto in attesa di risposta.,Tecnico,media,monitor sfarfalla il sistema è molto lento per mancanza di ram resto in attesa di risposta
550,Configurazione email,La stampante non risponde ai comandi di stampa Resto in attesa di risposta.,Tecnico,media,configurazione email la stampante non risponde ai comandi di stampa resto in attesa di risposta
551,Audio non funziona,Il backup automatico non viene eseguito Grazie in anticipo.,Tecnico,media,audio non funziona il backup automatico non viene eseguito grazie in anticipo
552,Offerta speciale,Vorrei informazioni sulla promozione attiva Resto in attesa di risposta.,Commerciale,media,offerta speciale vorrei informazioni sulla promozione attiva resto in attesa di risposta
553,Reclamo prodotto,"Vorrei lasciare un feedback sul servizio ricevuto Emergenza, serve intervento immediato.",Commerciale,alta,reclamo prodotto vorrei lasciare un feedback sul servizio ricevuto emergenza serve intervento immediato
554,Ordine in ritardo,Sono un nuovo cliente e vorrei registrarmi Attendo riscontro.,Commerciale,media,ordine in ritardo sono un nuovo cliente e vorrei registrarmi attendo riscontro
555,Assistenza post-vendita,Ci sono offerte speciali in corso? Problema grave che blocca tutto.,Commerciale,alta,assistenza post-vendita ci sono offerte speciali in corso problema grave che blocca tutto
556,Malattia,"Vorrei informazioni sul prestito aziendale È urgente, non riesco a lavorare.",Amministrazione,alta,malattia vorrei informazioni sul prestito aziendale è urgente non riesco a lavorare
557,Audio non funziona,"Non ricordo la password del mio account Sono fermo, non posso procedere.",Tecnico,alta,audio non funziona non ricordo la password del mio account sono fermo non posso procedere
558,Problema cedolino,Devo richiedere il rimborso delle spese di viaggio Quando possibile.,Amministrazione,bassa,problema cedolino devo richiedere il rimborso delle spese di viaggio quando possibile
559,Software non funziona,"Lo schermo rimane nero dopo l'accensione Emergenza, serve intervento immediato.",Tecnico,alta,software non funziona lo schermo rimane nero dopo l'accensione emergenza serve intervento immediato
560,Email non arrivano,"Il monitor presenta sfarfallii continui Emergenza, serve intervento immediato.",Tecnico,alta,email non arrivano il monitor presenta sfarfallii continui emergenza serve intervento immediato
561,Informazioni prodotto,Vorrei verificare il credito residuo Resto in attesa di risposta.,Commerciale,media,informazioni prodotto vorrei verificare il credito residuo resto in attesa di risposta
562,Congedo parentale,"Devo aggiornare la richiesta assegni familiari È urgente, non riesco a lavorare.",Amministrazione,alta,congedo parentale devo aggiornare la richiesta assegni familiari è urgente non riesco a lavorare
563,Ordine in ritardo,Ho bisogno di una spedizione urgente,Commerciale,media,ordine in ritardo ho bisogno di una spedizione urgente
564,Software non funziona,L'applicazione si chiude inaspettatamente Solo per curiosità.,Tecnico,bassa,software non funziona l'applicazione si chiude inaspettatamente solo per curiosità
565,Richiesta ferie,Devo richiedere il rimborso delle spese di viaggio Grazie per l'assistenza.,Amministrazione,media,richiesta ferie devo richiedere il rimborso delle spese di viaggio grazie per l'assistenza
566,Busta paga errata,"Richiedo un anticipo sullo stipendio Urgentissimo, il cliente attende.",Amministrazione,alta,busta paga errata richiedo un anticipo sullo stipendio urgentissimo il cliente attende
567,Stampante non stampa,La webcam non viene riconosciuta dal sistema Senza fretta.,Tecnico,bassa,stampante non stampa la webcam non viene riconosciuta dal sistema senza fretta
568,Assistenza post-vendita,"L'articolo che cerco è disponibile in magazzino? Situazione critica, sistema bloccato.",Commerciale,alta,assistenza post-vendita l'articolo che cerco è disponibile in magazzino situazione critica sistema bloccato
569,Backup fallito,La stampante non risponde ai comandi di stampa Quando possibile.,Tecnico,bassa,backup fallito la stampante non risponde ai comandi di stampa quando possibile
570,Webcam non rilevata,L'applicazione si chiude inaspettatamente È bloccante per il mio lavoro.,Tecnico,alta,webcam non rilevata l'applicazione si chiude inaspettatamente è bloccante per il mio lavoro
571,Licenza scaduta,Il mouse wireless non risponde,Tecnico,media,licenza scaduta il mouse wireless non risponde
572,Pagamento effettuato,"Siamo interessati a una partnership commerciale Emergenza, serve intervento immediato.",Commerciale,alta,pagamento effettuato siamo interessati a una partnership commerciale emergenza serve intervento immediato
573,Contratto da firmare,Gli straordinari del mese scorso non sono stati pagati Cordiali saluti.,Amministrazione,media,contratto da firmare gli straordinari del mese scorso non sono stati pagati cordiali saluti
574,USB non riconosciuta,Il server aziendale non è raggiungibile Grazie in anticipo.,Tecnico,media,usb non riconosciuta il server aziendale non è raggiungibile grazie in anticipo
575,Aggiornamento fallito,Non esce audio dalle casse del computer Attendo riscontro.,Tecnico,media,aggiornamento fallito non esce audio dalle casse del computer attendo riscontro
576,Webcam non rilevata,Non ricordo la password del mio account,Tecnico,media,webcam non rilevata non ricordo la password del mio account
577,Rinnovo abbonamento,"Vorrei tracciare il mio ordine Non è urgente, quando avete tempo.",Commerciale,bassa,rinnovo abbonamento vorrei tracciare il mio ordine non è urgente quando avete tempo
578,Modello 730,"Ho bisogno di un attestato di servizio Sono fermo, non posso procedere.",Amministrazione,alta,modello 730 ho bisogno di un attestato di servizio sono fermo non posso procedere
579,Rimborso spese,Vorrei richiedere le ferie per il mese prossimo Attendo riscontro.,Amministrazione,media,rimborso spese vorrei richiedere le ferie per il mese prossimo attendo riscontro
580,Webcam non rilevata,L'applicazione si chiude inaspettatamente È solo una domanda informativa.,Tecnico,bassa,webcam non rilevata l'applicazione si chiude inaspettatamente è solo una domanda informativa
581,USB non riconosciuta,Il backup automatico non viene eseguito Ho bisogno di aiuto immediato.,Tecnico,alta,usb non riconosciuta il backup automatico non viene eseguito ho bisogno di aiuto immediato
582,Promozione attiva,"Il mio ordine è in ritardo rispetto alla data prevista È urgente, non riesco a lavorare.",Commerciale,alta,promozione attiva il mio ordine è in ritardo rispetto alla data prevista è urgente non riesco a lavorare
583,Maternità,Richiedo assistenza per il modello 730 Quando possibile.,Amministrazione,bassa,maternità richiedo assistenza per il modello 730 quando possibile
584,Schermo nero,"Il disco C: è quasi pieno Quando possibile, grazie.",Tecnico,media,schermo nero il disco c è quasi pieno quando possibile grazie
585,Connessione internet assente,"Il backup automatico non viene eseguito Situazione critica, sistema bloccato.",Tecnico,alta,connessione internet assente il backup automatico non viene eseguito situazione critica sistema bloccato
586,Webcam non rilevata,Manca il driver della scheda video È solo una domanda informativa.,Tecnico,bassa,webcam non rilevata manca il driver della scheda video è solo una domanda informativa
587,Aggiornamento fallito,Devo configurare la mia casella email Cordiali saluti.,Tecnico,media,aggiornamento fallito devo configurare la mia casella email cordiali saluti
588,Nuovo cliente,"Ho bisogno di assistenza post-vendita Sono fermo, non posso procedere.",Commerciale,alta,nuovo cliente ho bisogno di assistenza post-vendita sono fermo non posso procedere
589,Modifica anagrafica,Devo comunicare il nuovo IBAN per l'accredito stipendio,Amministrazione,media,modifica anagrafica devo comunicare il nuovo iban per l'accredito stipendio
590,Pagamento effettuato,Ho bisogno di una spedizione urgente Senza fretta.,Commerciale,bassa,pagamento effettuato ho bisogno di una spedizione urgente senza fretta
591,Fattura errata,"Sono un nuovo cliente e vorrei registrarmi Situazione critica, sistema bloccato.",Commerciale,alta,fattura errata sono un nuovo cliente e vorrei registrarmi situazione critica sistema bloccato
592,Richiesta TFR,"Richiedo assistenza per il modello 730 Urgentissimo, il cliente attende.",Amministrazione,alta,richiesta tfr richiedo assistenza per il modello 730 urgentissimo il cliente attende
593,Garanzia prodotto,Confermo di aver effettuato il pagamento Solo per avere informazioni.,Commerciale,bassa,garanzia prodotto confermo di aver effettuato il pagamento solo per avere informazioni
594,Email non arrivano,Il backup automatico non viene eseguito Grazie in anticipo.,Tecnico,media,email non arrivano il backup automatico non viene eseguito grazie in anticipo
595,RAM insufficiente,Impossibile navigare su internet Attendo riscontro.,Tecnico,media,ram insufficiente impossibile navigare su internet attendo riscontro
596,Promozione attiva,Vorrei tracciare il mio ordine Solo per curiosità.,Commerciale,bassa,promozione attiva vorrei tracciare il mio ordine solo per curiosità
597,Aggiornamento fallito,"L'applicazione si chiude inaspettatamente Situazione critica, sistema bloccato.",Tecnico,alta,aggiornamento fallito l'applicazione si chiude inaspettatamente situazione critica sistema bloccato
598,Richiesta preventivo,Devo rinnovare il mio abbonamento A vostra comodità.,Commerciale,bassa,richiesta preventivo devo rinnovare il mio abbonamento a vostra comodità
599,Smart working,Invio la nota spese del mese Attendo riscontro.,Amministrazione,media,smart working invio la nota spese del mese attendo riscontro
600,Backup fallito,"Il file Excel non si apre correttamente Situazione critica, sistema bloccato.",Tecnico,alta,backup fallito il file excel non si apre correttamente situazione critica sistema bloccato
601,RAM insufficiente,Il sistema nega l'accesso ai file condivisi Quando possibile.,Tecnico,bassa,ram insufficiente il sistema nega l'accesso ai file condivisi quando possibile
602,Disco pieno,Il sistema è molto lento per mancanza di RAM,Tecnico,media,disco pieno il sistema è molto lento per mancanza di ram
603,Richiesta campioni,"Ho bisogno di informazioni su un prodotto specifico Urgentissimo, il cliente attende.",Commerciale,alta,richiesta campioni ho bisogno di informazioni su un prodotto specifico urgentissimo il cliente attende
604,Partnership commerciale,Il mio ordine è in ritardo rispetto alla data prevista Attendo riscontro.,Commerciale,media,partnership commerciale il mio ordine è in ritardo rispetto alla data prevista attendo riscontro
605,CUD mancante,Ho ricevuto il contratto da firmare Solo per curiosità.,Amministrazione,bassa,cud mancante ho ricevuto il contratto da firmare solo per curiosità
606,Credito cliente,"Vorrei lasciare un feedback sul servizio ricevuto Sono fermo, non posso procedere.",Commerciale,alta,credito cliente vorrei lasciare un feedback sul servizio ricevuto sono fermo non posso procedere
607,Modello 730,Gli straordinari del mese scorso non sono stati pagati Senza fretta.,Amministrazione,bassa,modello 730 gli straordinari del mese scorso non sono stati pagati senza fretta
608,Problema di rete,Il disco C: è quasi pieno Solo per curiosità.,Tecnico,bassa,problema di rete il disco c è quasi pieno solo per curiosità
609,Ordine in ritardo,Devo rinnovare il mio abbonamento Fatemi sapere.,Commerciale,media,ordine in ritardo devo rinnovare il mio abbonamento fatemi sapere
610,Certificato lavoro,Richiedo un anticipo sullo stipendio Attendo riscontro.,Amministrazione,media,certificato lavoro richiedo un anticipo sullo stipendio attendo riscontro
611,Nota spese,Invio la nota spese del mese È solo una domanda informativa.,Amministrazione,bassa,nota spese invio la nota spese del mese è solo una domanda informativa
612,Straordinari non pagati,I contributi versati risultano errati È bloccante per il mio lavoro.,Amministrazione,alta,straordinari non pagati i contributi versati risultano errati è bloccante per il mio lavoro
613,Rinnovo contratto,Richiedo una variazione dell'orario di lavoro Grazie in anticipo.,Amministrazione,media,rinnovo contratto richiedo una variazione dell'orario di lavoro grazie in anticipo
614,Listino prezzi,Ci sono offerte speciali in corso? Solo per curiosità.,Commerciale,bassa,listino prezzi ci sono offerte speciali in corso solo per curiosità
615,File corrotto,La connessione VPN si disconnette continuamente Solo per avere informazioni.,Tecnico,bassa,file corrotto la connessione vpn si disconnette continuamente solo per avere informazioni
616,Maternità,"Devo aggiornare la richiesta assegni familiari Sono fermo, non posso procedere.",Amministrazione,alta,maternità devo aggiornare la richiesta assegni familiari sono fermo non posso procedere
617,Catalogo prodotti,Vorrei ricevere un preventivo per i vostri servizi Grazie in anticipo.,Commerciale,media,catalogo prodotti vorrei ricevere un preventivo per i vostri servizi grazie in anticipo
618,Assegni familiari,"Devo aggiornare il mio indirizzo di residenza È urgente, non riesco a lavorare.",Amministrazione,alta,assegni familiari devo aggiornare il mio indirizzo di residenza è urgente non riesco a lavorare
619,Sconto richiesto,"Vorrei ricevere il catalogo prodotti completo Quando possibile, grazie.",Commerciale,media,sconto richiesto vorrei ricevere il catalogo prodotti completo quando possibile grazie
620,Dimissioni,Ho notato un errore nell'importo della busta paga,Amministrazione,media,dimissioni ho notato un errore nell'importo della busta paga
621,Catalogo prodotti,Ci sono offerte speciali in corso? Grazie in anticipo.,Commerciale,media,catalogo prodotti ci sono offerte speciali in corso grazie in anticipo
622,Richiesta permesso,Richiedo un anticipo sullo stipendio Solo per avere informazioni.,Amministrazione,bassa,richiesta permesso richiedo un anticipo sullo stipendio solo per avere informazioni
623,Pagamento effettuato,Ho bisogno di informazioni su un prodotto specifico Grazie in anticipo.,Commerciale,media,pagamento effettuato ho bisogno di informazioni su un prodotto specifico grazie in anticipo
624,Software da installare,"Il server aziendale non è raggiungibile Quando possibile, grazie.",Tecnico,media,software da installare il server aziendale non è raggiungibile quando possibile grazie
625,Busta paga errata,Ho bisogno di un attestato di servizio Ho bisogno di aiuto immediato.,Amministrazione,alta,busta paga errata ho bisogno di un attestato di servizio ho bisogno di aiuto immediato
626,Contratto fornitura,"Il prodotto è ancora in garanzia? È urgente, non riesco a lavorare.",Commerciale,alta,contratto fornitura il prodotto è ancora in garanzia è urgente non riesco a lavorare
627,Modello 730,Devo aggiornare la richiesta assegni familiari Non è prioritario.,Amministrazione,bassa,modello 730 devo aggiornare la richiesta assegni familiari non è prioritario
628,Accesso negato,L'antivirus ha rilevato una minaccia Senza fretta.,Tecnico,bassa,accesso negato l'antivirus ha rilevato una minaccia senza fretta
629,Assegni familiari,Richiedo un permesso per visita medica A vostra comodità.,Amministrazione,bassa,assegni familiari richiedo un permesso per visita medica a vostra comodità
630,Aggiornamento fallito,Non riesco a connettermi alla rete aziendale Grazie per l'assistenza.,Tecnico,media,aggiornamento fallito non riesco a connettermi alla rete aziendale grazie per l'assistenza
631,Ordine in ritardo,Ho bisogno di una spedizione urgente Grazie per l'assistenza.,Commerciale,media,ordine in ritardo ho bisogno di una spedizione urgente grazie per l'assistenza
632,Problema di rete,"Non riesco a connettermi alla rete aziendale Quando possibile, grazie.",Tecnico,media,problema di rete non riesco a connettermi alla rete aziendale quando possibile grazie
633,Audio non funziona,Il backup automatico non viene eseguito Attendo riscontro.,Tecnico,media,audio non funziona il backup automatico non viene eseguito attendo riscontro
634,Stampante non stampa,"L'antivirus ha rilevato una minaccia È urgente, non riesco a lavorare.",Tecnico,alta,stampante non stampa l'antivirus ha rilevato una minaccia è urgente non riesco a lavorare
635,Password dimenticata,"La stampante non risponde ai comandi di stampa Situazione critica, sistema bloccato.",Tecnico,alta,password dimenticata la stampante non risponde ai comandi di stampa situazione critica sistema bloccato
636,Congedo parentale,Richiedo informazioni sul congedo di maternità Problema grave che blocca tutto.,Amministrazione,alta,congedo parentale richiedo informazioni sul congedo di maternità problema grave che blocca tutto
637,Contratto da firmare,Vorrei informazioni sul prestito aziendale Grazie in anticipo.,Amministrazione,media,contratto da firmare vorrei informazioni sul prestito aziendale grazie in anticipo
638,Catalogo prodotti,"Vorrei ricevere un preventivo per i vostri servizi Quando possibile, grazie.",Commerciale,media,catalogo prodotti vorrei ricevere un preventivo per i vostri servizi quando possibile grazie
639,Tracciamento ordine,"Sono interessato a un upgrade del piano attuale Sono fermo, non posso procedere.",Commerciale,alta,tracciamento ordine sono interessato a un upgrade del piano attuale sono fermo non posso procedere
640,Offerta speciale,Vorrei disdire il servizio attivo Attendo riscontro.,Commerciale,media,offerta speciale vorrei disdire il servizio attivo attendo riscontro
641,Problema cedolino,Vorrei presentare le dimissioni A vostra comodità.,Amministrazione,bassa,problema cedolino vorrei presentare le dimissioni a vostra comodità
642,Richiesta ferie,"Vorrei richiedere il congedo parentale Urgentissimo, il cliente attende.",Amministrazione,alta,richiesta ferie vorrei richiedere il congedo parentale urgentissimo il cliente attende
643,Richiesta permesso,Il cedolino presenta delle anomalie A vostra comodità.,Amministrazione,bassa,richiesta permesso il cedolino presenta delle anomalie a vostra comodità
644,Ordine in ritardo,"Confermo di aver effettuato il pagamento Emergenza, serve intervento immediato.",Commerciale,alta,ordine in ritardo confermo di aver effettuato il pagamento emergenza serve intervento immediato
645,Email non arrivano,Il sistema nega l'accesso ai file condivisi Cordiali saluti.,Tecnico,media,email non arrivano il sistema nega l'accesso ai file condivisi cordiali saluti
646,Aggiornamento fallito,"Il server aziendale non è raggiungibile Non è urgente, quando avete tempo.",Tecnico,bassa,aggiornamento fallito il server aziendale non è raggiungibile non è urgente quando avete tempo
647,Anticipo stipendio,"Il cedolino presenta delle anomalie Urgentissimo, il cliente attende.",Amministrazione,alta,anticipo stipendio il cedolino presenta delle anomalie urgentissimo il cliente attende
648,Detrazioni fiscali,"Ho bisogno di un attestato di servizio Quando possibile, grazie.",Amministrazione,media,detrazioni fiscali ho bisogno di un attestato di servizio quando possibile grazie
649,Nuovo cliente,Siamo interessati a una partnership commerciale A vostra comodità.,Commerciale,bassa,nuovo cliente siamo interessati a una partnership commerciale a vostra comodità
650,Certificato lavoro,Ho bisogno di una lettera di referenze È bloccante per il mio lavoro.,Amministrazione,alta,certificato lavoro ho bisogno di una lettera di referenze è bloccante per il mio lavoro
651,Errore contributi,Devo aggiornare la richiesta assegni familiari Problema grave che blocca tutto.,Amministrazione,alta,errore contributi devo aggiornare la richiesta assegni familiari problema grave che blocca tutto
652,Promozione attiva,"Vorrei informazioni sulla promozione attiva Emergenza, serve intervento immediato.",Commerciale,alta,promozione attiva vorrei informazioni sulla promozione attiva emergenza serve intervento immediato
653,Nuovo cliente,Vorrei lasciare un feedback sul servizio ricevuto Fatemi sapere.,Commerciale,media,nuovo cliente vorrei lasciare un feedback sul servizio ricevuto fatemi sapere
654,CUD mancante,Ho notato un errore nell'importo della busta paga Problema grave che blocca tutto.,Amministrazione,alta,cud mancante ho notato un errore nell'importo della busta paga problema grave che blocca tutto
655,Modifica ordine,"Vorrei annullare l'ordine numero 12345 Quando possibile, grazie.",Commerciale,media,modifica ordine vorrei annullare l'ordine numero 12345 quando possibile grazie
656,Partnership commerciale,Siamo interessati a una partnership commerciale Solo per avere informazioni.,Commerciale,bassa,partnership commerciale siamo interessati a una partnership commerciale solo per avere informazioni
657,Reclamo prodotto,"Sono interessato a un upgrade del piano attuale Sono fermo, non posso procedere.",Commerciale,alta,reclamo prodotto sono interessato a un upgrade del piano attuale sono fermo non posso procedere
658,Congedo parentale,Richiedo una variazione dell'orario di lavoro Solo per avere informazioni.,Amministrazione,bassa,congedo parentale richiedo una variazione dell'orario di lavoro solo per avere informazioni
659,Email non arrivano,Il computer impiega troppo tempo ad avviarsi Grazie in anticipo.,Tecnico,media,email non arrivano il computer impiega troppo tempo ad avviarsi grazie in anticipo
660,Errore contributi,"Ho bisogno di un attestato di servizio Emergenza, serve intervento immediato.",Amministrazione,alta,errore contributi ho bisogno di un attestato di servizio emergenza serve intervento immediato
661,Driver mancante,"Il backup automatico non viene eseguito Non è urgente, quando avete tempo.",Tecnico,bassa,driver mancante il backup automatico non viene eseguito non è urgente quando avete tempo
662,Richiesta ferie,Richiedo una variazione dell'orario di lavoro Senza fretta.,Amministrazione,bassa,richiesta ferie richiedo una variazione dell'orario di lavoro senza fretta
663,Pagamento effettuato,"Richiedo il listino prezzi aggiornato Non è urgente, quando avete tempo.",Commerciale,bassa,pagamento effettuato richiedo il listino prezzi aggiornato non è urgente quando avete tempo
664,Aggiornamento fallito,"Il sistema è molto lento per mancanza di RAM Emergenza, serve intervento immediato.",Tecnico,alta,aggiornamento fallito il sistema è molto lento per mancanza di ram emergenza serve intervento immediato
