id,title,body,category,priority
588,internet,nn riesco ad accedere al conputer non è urgnte,Tecnico,bassa
589,domanda,ancora?? cambio mansione nn é posibile andare avanti così,Amministrazione,media
590,rete,il programma si blocca sempre e volevo anche dire che ho già provato di tutto ma non funziona niente,Tecnico,media
591,bloccato,"ciao, il computer si spegne da solo deadline domani",Tecnico,alta
592,lento,outlook non come dire si apre ...non ricordo bene!!!,Tecnico,media
593,preventivo,"con la presente devo fare un reso in attesa di vs. risposta, cordialmente. curiosità!!",Commerciale,bassa
594,cliente,feedback sul servizio,Commerciale,bassa
595,straordinari,nota spese approvare,Amministrazione,media
596,spedizione,spedizione urgente non è urgente,Commerciale,bassa
597,reclamo,Per l'ennesima volta: devo modificare l'ordine Voglio parlare con un responsabile!,Commerciale,bassa
598,domanda,salve teams non funziona grz,Tecnico,media
599,rotto,salve excel si chiude da solo grazie!,Tecnico,bassa
600,ferie,"Gentilissimi, anticipo stipendio Grazie x la collaborazione. sono fermo",Amministrazione,alta
601,da risolvere,Desidero segnalare che anticipo stipendio Distinti saluti. curiosità,Amministrazione,bassa
602,virus?,NON È ACCETTABILE CHE IL GESTIONALE FATTURE SI BLOCCA SEMPRE QUANDO APRO LE FATTURE INACCETTABILE!!! NON RIESCO A FARE NIENTE,Tecnico,alta
603,reclamo,devo fare un reso ciao,Commerciale,media
604,stampa,tastiera rotta e volevo anche dire che ho già provato di tutto ma non funziona niente deadline domani,Tecnico,alta
605,contratto,vorrei chiedere ferie,Amministrazione,media
606,richiesta,devo fare più o meno il rimborso spese o qualcosa del genere,Amministrazione,media
607,rotto,"gentilissimi, devo cambiare l'iban resto in attesa di un cortese riscontro.",Amministrazione,bassa
608,computer,"Buongiorno, non vedo le cartelle condivise Grazie per la collaborazione.",Tecnico,bassa
609,DISPONIBILITÀ,Ma è possibile che upgrade del piano Inaccettabile!!! URGENTE,Commerciale,alta
610,virus?,schermo nero quando accendo perché come sapete è già da un po' che ho questo problema e non so più cosa fare bloccato completamente,Tecnico,alta
611,spedizione,"n riesco fare l'ordine online, sito errore è un'emergenza?!",Commerciale,alta
612,straordinari,devo scaricare la cud ma il sito non funziona comunque sia vi chiedo di intervenire il prima possibile se potete,Amministrazione,bassa
613,reso,ho pagato ma non risulta e volevo anche dire che ho già provato di tutto ma non funziona niente,Commerciale,bassa
614,lento,"Spett.le ufficio, non ho più spazio sul disco Distinti saluti.",Tecnico,media
615,virus?,Salve word non salva i file grz serve subito,Tecnico,alta
616,re: re:,salve contratto di fornitura ciao è urgenete,Commerciale,alta
617,lento,Ehi non riesco ad accedere al compiuter thx già che ci siete,Tecnico,bassa
618,info,devo fare nel senso un reso boh quando potete???,Commerciale,media
619,pagamento,devo fare un ordine ma ho bisogno dell'approvazione del budget grz una cosina veloce: non riesco più ad accedere a nulla,Commerciale,media
620,ticket,Ma è possibile che devo scaricare la cud ma il sito non funziona È la terza volta che lo segnalo!! sono fermo,Amministrazione,alta
621,COMPUTER,"ciao, ho perso tutti i documenti",Tecnico,bassa
622,documento,la fattura del fornitore non quadra con le mie note spese e volevo anche dire che ho già provato di tutto ma non funzina niente,Amministrazione,media
623,prodotto,voglio disdire e volevo anche dire che ho già provato di tutto ma non funziona niente,Commerciale,media
624,fattura,"Ciao, il prodotto è in garanzia? grazie! urgentissimo",Commerciale,alta
625,straordinari,"Salve la mail per le note spese non parte, come faccio ciao",Amministrazione,media
626,IMPORTANTE,Basta! la stampante non stampa Pretendo una risposta OGGI!,Tecnico,bassa
627,offerta,Per l'ennesima volta: devo fare un ordine ma ho bisogno dell'approvazione del budget Non è possibile andare avanti così!,Commerciale,media
628,lento,la password  cioè  non funziona più (o forse era un'altra cosa?) aspetto risposta,Tecnico,media
629,vi prego,NON È ACCETTABILE CHE DEVO FARE UN ORDINE MA HO BISOGNO DELL'APPROVAZIONE DEL BUDGET PRETENDO UNA RISPOSTA OGGI! GRAZIE,Commerciale,media
630,preventivo,BASTA! LA FATTURA È SBAGLIATA NON È POSSIBILE ANDARE AVANTI COSÌ!,Commerciale,media
631,mail,Ehi la password nn funziona più grz,Tecnico,alta
632,guasto,devo fare una trasferta e aggiungo che un mio collega ha lo stesso identico problema se avete tempo,Amministrazione,bassa
633,PAGAMENTO,sono nuovo cliente,Commerciale,media
634,ufficio personale,"sistema delle ferie non mi fa inserire richiesta, errore quando potete",Amministrazione,bassa
635,PRODOTTO,n è accettabile ch il mio ordine e' in ritardo È la terza volta ch lo segnalo!!???,Commerciale,media
636,ordine,"Desidero segnalare che assistenza post vendita Ringraziando anticipatamente, porgo cordiali saluti. riunione importatne",Commerciale,alta
637,computer,Ehi il pc è lentissimo grazie!,Tecnico,media
638,richiesta,ho bisogno permesso,Amministrazione,bassa
639,assistenza,lo schermo sfarfalla e aggiungo che un mio collega ha lo stesso identico problema deadline domani,Tecnico,alta
640,straordinari,"Con la presente il sistema delle ferie non mi fa inserire la richiesta, da errore Ringraziando anticipatamente, porgo cordiali saluti.???",Amministrazione,bassa
641,offerta,vi scrivo per feedback sul servizio resto in attesa di un cortese riscontro. quando potete,Commerciale,media
642,MAIL,PER L'ENNESIMA VOLTA: NON MI FA ENTRARE NEL SISTEMA È LA TERZA VOLTA CHE LO SEGNALO!! QUANDO POTETE,Tecnico,bassa
643,problema,ho perso tutti i documenti thx non c'è fretta,Tecnico,bassa
644,problema pc,"Spett.le ufficio, il gestionale fatture si blocca sempre quando apro le fatture Distinti saluti. già che ci siete",Tecnico,bassa
645,help,DEVO FARE  NON SO SE MI SPIEGO  UN RESO (O FORSE ERA UN'ALTRA COSA?) SE AVETE TEMPO,Commerciale,bassa
646,busta paga,Con la presente la fattura del fornitore non quadra con le mie note spese Resto in attesa di un cortese riscontro.,Amministrazione,media
647,straordinari,Basta! richiesta smart working Non è possibile andare avanti così! grazie,Amministrazione,media
648,sconto,Desidero segnalare ke feedback sul servizio grz x la collaborazione???,Commerciale,media
649,info,"non riesco a fare l'ordine online, il sito da errore",Commerciale,media
650,Fwd:,la mail per le note spese non diciamo che parte come faccio mah serve subito,Amministrazione,alta
651,da risolvere,mi serve certificato lavoro,Amministrazione,bassa
652,(nessun oggetto),devo fare un reso e aggiungo che un mio collega ha lo stesso identico problema,Commerciale,media
653,help,devo scaricare la cud ma il sito non funziona comunque sia vi chiedo di intervenire il prima possibile se potete,Amministrazione,media
654,problema,verifica credito con calma,Commerciale,bassa
655,730,"ciao, detrazioni fiscali ok?",Amministrazione,media
656,sconto,sostituzione articolo e volevo anche dire che ho già provato di tutto ma non funziona niente bloccato completamente,Commerciale,alta
657,da risolvere,Ehi non mi fa entrare nel sistema,Tecnico,alta
658,richiesta,Ancora?? devo firmare il contratto Non é possibile andare avanti così!,Amministrazione,bassa
659,problema pc,"non mi arrivano mail dei clienti, controllate quando potete",Tecnico,media
660,ticket,"Gentilissimi, avete il catalogo Resto in attesa di un cortese riscontro. quando potete",Commerciale,media
661,hr,informazioni prestito aziendale,Amministrazione,bassa
662,OFFERTA,feedback sul servizio e volevo anche dire che ho già provato di tutto ma non funziona niente presentazione tra poco,Commerciale,alta
663,richiesta,buongiorno richiesta maternità ciao urgenete,Amministrazione,alta
664,smart working,"Gentilissimi, la fattura del fornitore non quadra con le mie note spese Distinti saluti.",Amministrazione,media
665,bloccato,la mail  insomma  non parte ...non ricordo bene se avete tempo,Tecnico,bassa
666,schermo nero,la password non funziona più comunque sia vi chiedo di intervenire il prima possibile se potete,Tecnico,bassa
667,password,il backup n parte ciao,Tecnico,media
668,cedolino,detrazioni fiscali (o forse era un'altra cosa?) urgentissimo,Amministrazione,alta
669,vpn,Salve excel si chiude da solo grazie! era solo un'idea,Tecnico,bassa
670,errore,il wifi più o meno n prene o qualcosa del genere!!!,Tecnico,bassa
671,prodotto,devo fare un ordine ma ho bisogno dell'approvazione del budget perché come sapete è già da un po' che ho questo problema e non so più cosa fare grazie,Commerciale,media
672,rotto,schermo sfarfalla,Tecnico,media
673,guasto,pc e' lentissimo,Tecnico,media
674,problema pc,salve il gestionale fatture si blocca sempre quando apro le fatture grazie! una cosina veloce: non riesco più ad accedere a nulla,Tecnico,media
675,guasto,"Spett.le ufficio, il backup non parte In attesa di Vs. risposta, cordialmente.",Tecnico,media
676,cliente,devo fare un ordine ma ho bisogno dell'approvazione del budget ciao curiosità,Commerciale,bassa
677,richiesta,il computer si spegne da solo e aggiungo che un mio collega ha lo stesso identico problema non so se si può,Tecnico,bassa
678,730,Ma è possibilie che la fattura del fornitore non quadra con le mie note spese é la terza volta ch lo segnalo,Amministrazione,media
679,guasto,il pc non si accende deadline domani,Tecnico,alta
680,fwd:,devo rinnovare l'abbonamento ciao,Commerciale,media
681,rimborso,"Ciao, richiesta smart working thx",Amministrazione,media
682,internet,vpn non si connette,Tecnico,media
683,sconto,"Buongiorno, il mio ordine è in ritardo Grazie per la collaborazione. curiosità",Commerciale,bassa
684,errore sistema,Basta! la stampante non stampa Voglio parlare con un responsabile! È UN'EMERGENZA,Tecnico,alta
685,supporto,"ciao, word non salva i file grz curiosità",Tecnico,bassa
686,disponibilità,posso avere uno  diciamo che  sconto ...non ricordo bene,Commerciale,bassa
687,VIRUS?,Ancora?? sono in smart working ma il vpn non va e devo fare le note spese e un ordine È la terza volta che lo segnalo,Tecnico,bassa
688,ordine,informazioni sui prodotti comunque sia vi chiedo di intervenire il prima possibile se potete urgentissimo,Commerciale,alta
689,reclamo,"Con la presente la fattura è sbagliata In attesa di Vs. risposta, cordialmente.",Commerciale,media
690,(nessun oggetto),"Buongiorno, excel si chiude da solo Distinti saluti. quando potete",Tecnico,media
691,straordinari,Desidero segnalare che i contributi sono sbagliati Ringraziando anticipatamente porgo cordiali saluti. quando potete,Amministrazione,bassa
692,catalogo,"nn riesco a fare l'ordine online, il sito da errore inoltre vi faccio presente che questa situazione va avanti da settimane sn fermo",Commerciale,alta
693,info,voglio dare le dimissioni ok?,Amministrazione,bassa
694,catalogo,Buongiorno sostituzione articolo ok? già che ci siete,Commerciale,bassa
695,ERRORE SISTEMA,ANCORA?? IL PROGRAMMA SI BLOCCA SEMPRE INACCETTABILE!!! GRAZIE,Tecnico,media
696,documento,assegni familiari ok? bloccato completamente,Amministrazione,alta
697,problema,informazioni sul tfr mah n posso lavorare,Amministrazione,alta
698,segnalazione,devo rinnovare l'abbonamento ...non ricordo bene,Commerciale,alta
699,HELP,ANCORA?? SONO UN NUOVO CLIENTE PRETENDO UNA RISPOSTA OGGI! È URGENTE,Commerciale,alta
700,bloccato,word non salva file,Tecnico,media
701,730,devo scaricare la cud ma il sito non funziona ok? già che ci siete,Amministrazione,bassa
702,smart working,i contributi nel senso sono sbagliati (o forse era un'altra cosa?) bloccato completamente,Amministrazione,alta
703,stampa,vpn non si connette e aggiungo chee un mio collega ha lo stesso identico problema,Tecnico,bassa
704,bloccato,ho perso tutti documenti devo risolvere oggi!!,Tecnico,alta
705,richiesta,NON È ACCETTABILE CHE IL PC FA RUMORI STRANI VOGLIO PARLARE CON UN RESPONSABILE!,Tecnico,media
706,Re: Re:,il backup praticamente non parte mah devo partire,Tecnico,alta
707,URGENTE,"vi scrivo per non riesco a stampare ringraziando anticipatamente, porgo cordiali saluti.",Tecnico,bassa
708,lento,teams non funzionaa grazie,Tecnico,alta
709,virus?,"Spett.le ufficio, ho perso tutti i documenti Grazie per la collaborazione. non so se si può",Tecnico,bassa
710,problema pc,lo schermi sfarfalla n ricordo bene,Tecnico,media
711,cedolino,nota spese da  insomma  approvare o qualcosa del genere,Amministrazione,bassa
712,VPN,la webcam non n so se mi spiego funziona mah serve subito,Tecnico,alta
713,bloccato,il pc fa  più o meno  rumori strani boh,Tecnico,media
714,sconto,Vi scrivo per feedback sul servizio Distinti saluti.,Commerciale,media
715,disponibilità,promozioni attive inoltre vi faccio presente che questa situazione va avanti da settimane,Commerciale,bassa
716,straordinari,VI SCRIVO PER VORREI CHIEDERE LE FERIE DISTINTI SALUTI.,Amministrazione,media
717,lento,il computer si spegne da solo perché come sapete è già da un po' ke ho questo problema e non so più cosa fare,Tecnico,media
718,busta paga,MA È POSSIBILE CH DEVO FIRMARE IL CONTRATTO PRETENDO UNA RISPOSA OGGI!,Amministrazione,media
719,VIRUS?,"CIAO, IL MOUSE NON RISPONDE GRZ",Tecnico,media
720,LEGGERE,"ANCORA?? NON MI ARRIVANO LE MAIL DEI DLIENTI, CONTROLLATE VOGLIO PARLARE CON UN RESPONSABILE! BLOCCATO COMPLETAMENTE",Tecnico,alta
721,segnalazione,"Con la presente vorrei un preventivo Ringraziando anticipatamente, porgo cordiali saluti",Commerciale,bassa
722,fattura,mi serve il listino praticamente prezzi mah grazie,Commerciale,media
723,LEGGERE,il mio  insomma  ordine è in ritardo ...non ricordo bene grazie,Commerciale,media
724,documento,devo parlare con hr inoltre vi faccio presente che questa situazione va avanti da settimane,Amministrazione,media
725,schermo nero,non vedo le come dire cartelle condivise o qualcosa del genere pensavo che forse,Tecnico,bassa
726,ferie,"Vi scrivo per richiesta maternità Ringraziando anticipatamente, porgo cordiali saluti.",Amministrazione,media
727,spedizione,ho pagato ma non risulta devo risolvere oggi,Commerciale,alta
728,password,il gestionale fatture si blocca sempre quando apro le fatture inoltre vi faccio presente che questa situazione va avanti da settimane magari un giorno,Tecnico,bassa
729,sconto,devo fare un ordine ma ho bisogno dell'approvazione del budget e aggiungo che un mio collega ha lo stesso identico problema,Commerciale,media
730,password,ehi sono in smart working ma il vpn non va e devo fare le note spese e un ordine grz urgentissimo,Tecnico,alta
731,bloccato,tastiera rotta ok?,Tecnico,media
732,fattura,"Buongiorno, informazioni sui prodotti Resto in attesa di un cortese riscontro. quando potete",Commerciale,bassa
733,vi prego,il prodotto è in garanzia? ok? dobbiamo consegnare,Commerciale,alta
734,vi prego,ANCORA?? DEVO COMUNICARE LA MALATTIA PRETENDO UNA RISPOSTA OGGI! MAGARI UN GIORNO,Amministrazione,bassa
735,internet,"Buongiorno, schermo nero quando accendo Resto in attesa di un cortese riscontro",Tecnico,bassa
736,offerta,Basta! assistenza post vendita Non è possibile andare avanti così! È URGENTE,Commerciale,alta
737,sconto,spedizione urgente ah dimenticavo questa kosa urgnte qando potete rispondete,Commerciale,media
738,SPEDIZIONE,MA È POSSIBILE CHE SPEDIZIONE URGENTE NON È POSSIBILE ANDARE AVANTI COSÌ!,Commerciale,alta
739,straordinari,devo fare una trasferta perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Amministrazione,media
740,cliente,devo rinnovare l'abbonamento mah aspetto risposta,Commerciale,media
741,rimborso,devo comunicare la malattia e volevo anche dire che ho già provato di tutto ma non funziona niente,Amministrazione,media
742,schermo nero,"CIAO, TEAMS NON FUNZIONA GRAZIE! NON POSSO LAVORARE",Tecnico,alta
743,schermo nero,vppn non si connette,Tecnico,media
744,cedolino,cambio mansione perché come sapete è già da un po' che ho questo problema e non so più cosa fare devo partire,Amministrazione,alta
745,prodotto,ssotituzione articolo ...non ricordo bene,Commerciale,media
746,rotto,posso avere uno sconto comunque sia vi chiedo di intervenire il prima possibilie se potete,Commerciale,media
747,bloccato,Desidero segnalare che ho preso un virus Distinti saluti.,Tecnico,bassa
748,busta paga,Buongiorno gli straordinari non sono stati pagati ok? non c'è fretta,Amministrazione,bassa
749,busta paga,mi serve certificato lavoro,Amministrazione,media
750,vpn,Con la presente schermo nero quando accendo Resto in attesa di un cortese riscontro. il cliente aspetta,Tecnico,alta
751,straordinari,Ehi voglio dare le dimissioni graz curiosità,Amministrazione,bassa
752,lento,sono in smart più o meno working ma il vpn non va e devo fare le note spese e un ordine boh non è urgente,Tecnico,bassa
753,offerta,"ciao, il prodotto è in gaeanzia? grz",Commerciale,media
754,errore,non riesco ad accedere al portale vedere busta paga,Tecnico,media
755,ORDINE,ancora?? sollecito pagamento voglio parlare con un responsabile! solo per sapere,Commerciale,bassa
756,LEGGERE,devo firmare il contratto e volevo anche dire che ho già provato di tutto ma non funziona niente il cliente aspetta,Amministrazione,alta
757,urgente,documenti per come dire la banca (o forse era un'altra cosa?),Amministrazione,bassa
758,non funziona,"Spett.le ufficio, devo scaricare la cud ma il sito non funziona Ringraziando anticipatamente, porgo cordiali saluti. fatemi sapere",Amministrazione,media
759,help,ci sono offerte ...non ricordo bene è urgente,Commerciale,alta
760,disponibilità,ANCORA?? DEVO RINNOVARE L'ABBONAMENTO INACCETTABILE!!!,Commerciale,alta
761,richiesta,Con la presente il wifi n prende In attesa di Vs. risposta cordialmennte. curiosità,Tecnico,bassa
762,stampa,BASTA! HO PERSO TUTTI I DOCUMENTI È LA TERZA VOLTA CHE LO SEGNALO!!,Tecnico,media
763,cliente,devo rinnovare l'abbonamento boh il capo chiede,Commerciale,alta
764,prodotto,Salve verifica credito grazie!,Commerciale,alta
765,info,internet non funziona ...non ricordo bene serve subito,Tecnico,alta
766,LEGGERE,la webcam non funziona ok? solo per sapere,Tecnico,bassa
767,HR,informazioni prestito aziendale e volevo anche dire che ho già provato di tutto ma non funziona niente siamo in ritardo,Amministrazione,alta
768,problema,word nn salva file,Tecnico,media
769,internet,la webcam non funziona e aggiungo che un mio collega ha lo stesso identico problema bloccato completamente,Tecnico,alta
770,straordinari,devo comunicare la cioè malattia o qualcosa del genere,Amministrazione,media
771,pc rotto,Con la presente tastiera rotta Resto in attesa di un cortese riscontro. deadline domani,Tecnico,alta
772,segnalazione,Ma è possibile che ho perso tutti i documenti Voglio parlare con un responsabile!,Tecnico,media
773,help,Non è accettabile che aiuto con il 730 Voglio parlare con un responsabile!,Amministrazione,bassa
774,preventivo,mi srve il listino prezzi e volevo ank dire che ho già provato di tutto ma non funziona niente riunione importante,Commerciale,alta
775,schermo nero,teams non funziona e aggiungo che un mio collega ha lo stesso identico problema non è urgnte!!!,Tecnico,bassa
776,COMPUTER,Con la presente il mouse non risponde Distinti saluti.,Tecnico,media
777,pc rotto,SALVE LA WEBCAM NN FUNZINA GRAZIE!,Tecnico,media
778,vpn,"Gentilissimi, nn riesco ad accedere al computer Grazie per la collaborazione. non è urgente",Tecnico,bassa
779,cedolino,cambio mansione ...non ricordo bene sono fermo,Amministrazione,alta
780,malattia,MA È POSSIBILE CHE GLI STRAORDINARI NON SONO STATI PAGATI VOGLIO PARLARE CON UN RESPONSABILE! SERVE SUBITO,Amministrazione,alta
781,SUPPORTO,"ANCORA?? LA MAIL PER LE NOTE SPESE NON PARTE, COME FACCIO VOGLIO PARLARE CON UN RESPONSABILE! E URGENTE",Amministrazione,alta
782,LEGGERE,la password non funziona più thx urgentissimo,Tecnico,alta
783,spedizione,upgrade del piano,Commerciale,media
784,virus?,"Ciao, tastiera rotta grz",Tecnico,bassa
785,catalogo,avete il catalogo e volevo anche dire che ho già provato di tutto ma non funziona niente,Commerciale,bassa
786,pagamento,upgrade del piano boh riunione importante,Commerciale,alta
787,(nessun oggetto),ho perso tutti documenti presentazione tra poco,Tecnico,alta
788,errore,salve verifica credito,Commerciale,media
789,cliente,"non riesco fare l'ordine online, sito errore",Commerciale,media
790,fattura,posso avere uno  più o meno  sconto boh bloccato completamente,Commerciale,alta
791,richiesta,word non salva i file comunque sia vi chiedo di intervenire il prima possibile se potete è un'emergenza,Tecnico,alta
792,bloccato,VI SCRIVO PER NON HO PIÙ SPAZIO SUL DISCO DISTINTI SALUTI.,Tecnico,media
793,errore,devo parlare con insomma hr ...non ricordo bene,Amministrazione,bassa
794,CLIENTE,PER L'ENNESIMA VOLTA: IL MIO ORDINE È IN RITARDO INACCETTABILE!!!,Commerciale,bassa
795,730,mi serve la cud inoltre vi faccio presente che questa situszione va avanti da settimane,Amministrazione,media
796,RIMBORSO,informazioni sul tfr inoltre vi faccio presente che questa situazione va avanti da settimane,Amministrazione,bassa
797,permesso,contributi sono sbagliati,Amministrazione,bassa
798,info,la password non funziona  insomma  più o qualcosa del genere,Tecnico,media
799,sconto,assistenza post vendita una cosina veloce: non riesco più ad accedere a nulla,Commerciale,media
800,segnalazione,"Gentilissimi, non mi fa entrare nel sistema Grazie per la collaborazione. curiosità",Tecnico,bassa
801,preventivo,"Ciao, mi serve il listino prezzi thx curiosità?!",Commerciale,bassa
802,stampa,excel si chiude da solo comunque sia vi chiedo di intervenire il prima possibile se potete se avete tempo,Tecnico,bassa
803,internet,il monitor non si accende grz se avete tempo,Tecnico,bassa
804,(nessun oggetto),MA È POSSIBILE CHE IL PRODOTTO È IN GARANZIA? È LA TERZA VOLTA CHE LO SEGNALO!! URGENTISSIMO,Commerciale,alta
805,errore sistema,"Ciao, non mi fa entrare nel sistema thx se avete tempo",Tecnico,bassa
806,rete,SCHERMO NERO QUANDO ACCENDO COMUNQUE SIA VI CHIEDO DI INTERVENIRE IL PRIMA POSSIBILE SE POTETE GRAZIE,Tecnico,media
807,cedolino,Buongiorno detrazioni fiscali una cosina veloce: non riesco più ad accedere a nulla,Amministrazione,media
808,prodotto,"info sui prodotti grz so ke e' urgente ma n c'è fretta, fate con comodo",Commerciale,media
809,contratto,BASTA! DETRAZIONI FISCALI PRETENDO UNA RISPOSTA OGGI!,Amministrazione,bassa
810,PASSWORD,Ancora?? il gestionale fatture si blocca sempre quando apro le fatture Pretendo una risposta OGGI!,Tecnico,media
811,COMPUTER,non riesco ad accedere  non so se mi spiego  al computer boh,Tecnico,media
812,PROBLEMA PC,Basta! il pc non funziona e non riesco a mandare l'ordine né a timbrre le ferie Pretendo una risposta OGGI!,Tecnico,media
813,hr,richiesta smart working inoltre vi faccio presente che questa situazione va avanti da settimane,Amministrazione,media
814,fwd:,"Ehi il sistema delle ferie non mi fa inserire la richiesta, da errore thx",Amministrazione,bassa
815,urgente,Ma è possibile ch vorrei dei campioni Non è possibilr andare avanti così! grazie!!!,Commerciale,media
816,CONTRATTO,"Non è accettabile che la mail per le note spese nn parte, come faccio Inaccettabile",Amministrazione,bassa
817,errore sistema,il mouse non risponde grazie! devo partire,Tecnico,alta
818,aiuto,teams non funziona ciao aspetto risposta,Tecnico,media
819,disponibilità,Ancora?? devo fare un reso Voglio parlare con un responsabile!,Commerciale,media
820,vi prego,Desidero segnalare che devo modificare l'ordine Grazie per la collaborazione.,Commerciale,media
821,internet,"Ciao, ho preso un virus fatemi sapere",Tecnico,media
822,help,excel si chiude da solo e aggiungo che un mio collega ha lo stesso identico problema presentazione tra poco,Tecnico,alta
823,mail,nonn mi fa entrare nel non so se mi spiego sistema ...non ricordo bene già che ci siete,Tecnico,bassa
824,lento,salve ho preso un virus thx,Tecnico,media
825,spedizione,"non riesco  più o meno  a fare l'ordine online, il sito da errore o qualcosa del genere",Commerciale,media
826,richiesta,gli straordinari non  nel senso  sono stati pagati mah,Amministrazione,alta
827,spedizione,"Desidero segnalare ch la fattura è sbagliata In attesa di Vs. risposta, cordialmente.",Commerciale,bassa
828,busta paga,ANCORA?? DEVO COMUNICARE LA MALATTIA INACCETTABILE!!! URGENTE,Amministrazione,alta
829,malattia,NON E ACCETTABILE CHE DEVO COMUNICARE LA MALATTIA PRETENDO UNA RISPOSTA OGGI!,Amministrazione,media
830,reso,voglio annullare l'ordine?!,Commerciale,media
831,smart working,Con la presente assegni familiari Distinti saluti. se avete tempo,Amministrazione,bassa
832,PRODOTTO,Ma è possibile che voglio annullare l'ordine Non è possibile andare avanti così! sono fermo,Commerciale,alta
833,lento,outlook nn si apre perché come sapete é già da un po' che ho qsto problema e non so più cosa fare urgentissimo,Tecnico,alta
834,730,Salve il contratto scade grz,Amministrazione,media
835,pagamento,PROMOZIONI ATTIVE GRAZIE,Commerciale,media
836,offerta,"Vi scrivo per devo rinnovare l'abbonamento Ringraziando anticipatamente, porgo cordiali saluti. una cosina veloce: non riesco più ad accedere a nulla",Commerciale,media
837,non funziona,vpn non si connette e volevo anche dire ch ho già provato di tutto ma non funziona niente,Tecnico,media
838,stampa,mouse non risponde!!,Tecnico,bassa
839,non va,il pc fa rumori strani e aggiungo che un mio collega ha lo stesso identico problema,Tecnico,bassa
840,ordine,"Vi scrivo per feedback sul servizio Ringraziando anticipatamente, porgo cordiali ssluti.",Commerciale,media
841,importante,"Spett.le ufficio, vogio dare le dimissioni In attesa di Vs. risposta, cordialmente.",Amministrazione,media
842,contratto,la fattura del fornitore non quadra con le mie note spese thx se avete tempo,Amministrazione,bassa
843,offerta,ho pagato ma non risulta,Commerciale,media
844,URGENTE,richiesta smart working (o forse era un'altra cosa?),Amministrazione,media
845,offerta,Spett.le ufficio spedizione urgenete Resto in attesa di un cortese riscontro,Commerciale,media
846,rotto,"Gentilissimi, non riesco a stampare Grazie per la collaborazione. URGENTE",Tecnico,alta
847,non va,non riesco a non so se mi spiego stampare mah se avete tempo,Tecnico,bassa
848,richiesta,voglio cambiare orario boh,Amministrazione,bassa
849,computer,ehi schermo nero quando accendo thx non so se si può,Tecnico,bassa
850,errore sistema,il monitor  non so se mi spiego  non si accende o qualcosa del genere riunione importante,Tecnico,alta
851,(nessun oggetto),Ma é possibile ch dov'è il mio ordine Voglio parlare con un responsabile! già ke ci siete,Commerciale,bassa
852,documento,Per l'ennesima volta: devo fare il rimborso spese Inaccettabile!!! magari un giorno,Amministrazione,bassa
853,problema pc,ho preso virus aspetto risposta,Tecnico,media
854,vpn,internet non funziona,Tecnico,bassa
855,cedolino,MA È POSSIBILE CHE IL CEDOLINO HA UN ERRORE NON È POSSIBILE ANDARE AVANTI COSÌ! SIAMO IN RITARDO,Amministrazione,alta
856,straordinari,Vi scrivo per la fattura del fornitore non quadra con le mie note spese Distinti saluti.,Amministrazione,alta
857,non va,Basta! non vedo le cartelle condivise Inaccettabile!!!,Tecnico,media
858,spedizione,Buongiorno ho pagato ma nn risulta thx fatemi sapere,Commerciale,media
859,malattia,mi serve la cud,Amministrazione,media
860,PROBLEMA PC,gentilissimi il compiuter si spegne da solo ringraziando anticipatamente porgo cordiali saluti. fatemi sapere,Tecnico,media
861,guasto,aiuto con più o meno il 730 n ricordo bene,Amministrazione,media
862,errore,upgrade del piano,Commerciale,bassa
863,contratto,nota spese da  non so se mi spiego  approvare boh,Amministrazione,bassa
864,supporto,salve lettera di referenze thx,Amministrazione,media
865,virus?,Salve il gestionale fatture si blocca sempre quando apro le fatture ciao!!!,Tecnico,media
866,Re: Re:,richiesta maternità e volevo anche dire che ho già provato di tutto ma n funziona niente devo risolvere oggi,Amministrazione,alta
867,BUSTA PAGA,NON È ACCETTABILE CHE DEVO PARLARE CON HR INACCETTABIPE!!!,Amministrazione,bassa
868,hr,Per l'ennesima volta: la busta paga è sbagliata Voglio parlare con un responsabile! nn so se si può,Amministrazione,bassa
869,vi prego,"non mi arrivano le mail dei  più o meno  clienti, controllate boh",Tecnico,bassa
870,Re: Re:,mail non parte riunione importante,Tecnico,alta
871,RE: RE:,PER L'ENNESIMA VOLTA: NOTA SPESE DA APPROVARE INACCETTABILE!!!,Amministrazione,media
872,cliente,upgrade del piano devo risolvere oggi,Commerciale,alta
873,busta paga,SALVE IL SISTEMA DELLE FERIE NON MI FA INSERIRE LA RICHIESTA DA ERRORE CIAO FATEMI SAPERE,Amministrazione,media
874,schermo nero,non mi fa entrare più o meno nel sistema n ricordo bene non so se si può,Tecnico,bassa
875,cedolino,"Vi scrivo per il sistema delle ferie non mi fa inserire la richiesta, da errore Distinti saluti.",Amministrazione,media
876,assistenza,contratto di fornitura (o forse era un'altra cosa?) deadline domani,Commerciale,alta
877,SEGNALAZIONE,Per l'ennesima volta: mi serve un certificato di lavoro È la terza volta che lo segnalo!! se avete tempo,Amministrazione,bassa
878,NON VA,Ma è possibile che il wifi non prende Inaccettabile!!!,Tecnico,bassa
879,cliente,vorrei un preventivo inoltre vi faccio presente che questa situazione va avanti da settimane fatemi sapere,Commerciale,media
